ID,vendor_id,payment_type,fare_amount,tip_amount,tipped,pickup_long,pickup_lat,dropoff_long,dropoff_lat
81,CMT,CSH,56.5,0,0,-73.781898,40.644676,-73.988518,40.623676
82,VTS,CRD,52,8,1,-73.781883,40.644737,-73.965622,40.764511
83,CMT,CRD,58,11.7,1,-73.790314,40.643585,-73.991135,40.692249
84,VTS,CRD,52,8,1,-73.78186,40.644753,-73.979614,40.767296
85,VTS,CRD,59,11.8,1,-73.78997,40.645226,-73.992775,40.663742
86,CMT,CRD,52,11.56,1,-73.783989,40.646233,-73.9533,40.782452
87,VTS,CRD,52,15.6,1,-73.776657,40.645386,-73.964066,40.773659
88,VTS,CRD,52,10.4,1,-73.781746,40.644779,-73.971779,40.783821
89,VTS,CRD,52,7.5,1,-73.783829,40.648643,-73.973671,40.782856
90,VTS,CSH,52,0,0,-73.784996,40.648514,-73.972794,40.758419
91,VTS,CSH,52,0,0,-73.781311,40.644894,-74.0159,40.71133
92,CMT,CRD,69.5,8,1,-73.988388,40.748425,-73.885742,40.638458
93,VTS,CRD,64,12.9,1,-73.783531,40.648628,-73.685349,40.788643
94,VTS,CSH,63,0,0,-73.781944,40.644848,-74.01516,40.648991
95,VTS,CRD,52,14.33,1,-73.781158,40.645046,-74.01709,40.707565
96,CMT,CRD,52,11.56,1,-73.786781,40.641415,-73.974648,40.793388
97,CMT,CRD,24,2.5,1,-74.006088,40.706741,-73.974991,40.751846
98,VTS,CRD,52,10.4,1,-73.984352,40.765011,-73.776535,40.646309
99,VTS,CSH,67,0,0,-73.783882,40.648659,-74.109665,40.634167
100,CMT,CRD,54,11,1,-73.789246,40.646679,-74.01709,40.622429
101,VTS,CSH,53.5,0,0,-73.789139,40.641842,-73.842117,40.887321
102,VTS,CRD,52,4,1,-73.953392,40.783386,-73.776299,40.645435
103,CMT,CRD,94,18.8,1,-73.874931,40.774151,-73.685898,40.836422
104,VTS,CRD,52,10.4,1,-73.776993,40.64624,-74.00386,40.737774
105,VTS,CSH,51.5,0,0,-73.783493,40.648636,-73.996826,40.696259
106,VTS,CRD,52,10.4,1,-73.97258,40.786774,-73.78714,40.64743
107,VTS,CRD,52,8,1,-73.784752,40.648586,-73.981339,40.768139
108,CMT,CSH,12.5,0,0,-73.98613,40.696255,-73.957939,40.717648
109,VTS,CSH,54.5,0,0,-74.011459,40.702961,-74.158791,40.580231
110,CMT,CRD,52,5,1,-73.776688,40.645336,-74.00737,40.704964
111,VTS,CSH,53.5,0,0,-73.990288,40.75629,-73.834496,40.902187
112,VTS,CSH,52,0,0,-73.980461,40.774731,-73.783104,40.643871
113,VTS,CRD,52,10.4,1,-73.782585,40.646793,-73.971336,40.787601
114,CMT,CRD,52,14.45,1,-73.782684,40.64439,-73.978615,40.772762
115,VTS,CSH,52,0,0,-73.964958,40.805882,-73.783714,40.643684
116,VTS,CSH,81.5,0,0,-73.960838,40.776646,-74.176941,40.694702
117,CMT,CRD,52,11.56,1,-73.972008,40.793819,-73.77636,40.645298
118,CMT,CSH,54,0,0,-73.984932,40.752422,-73.956299,40.584427
119,CMT,CRD,53.5,10,1,-73.981422,40.745899,-73.638741,40.783386
120,CMT,CRD,52,14.45,1,-73.954185,40.784363,-73.782379,40.644657
